title,movie_id,avg_user_rating,popularity,positive_count,neutral_count,negative_count,total_reviews,genre_utama,ringkasan_film,positive_percentage,neutral_percentage,negative_percentage,rating_norm,popularity_norm,sentiment_norm,final_score
Django Unchained,68718.0,7.734375,19.785025,24,5,3,32,Drama,"Dengan bantuan seorang pemburu bayaran asal Jerman, seorang budak yang dibebaskan berangkat untuk menyelamatkan istrinya dari pemilik perkebunan Mississippi yang brutal.",75.0,15.62,9.38,0.5774340574088441,0.03613780435540926,0.7250027499725004,0.513445414567254
The Avengers,24428.0,7.657575757575757,89.887648,23,7,3,33,Science Fiction,"Ketika musuh tak terduga muncul dan mengancam keselamatan dan keamanan global, Nick Fury, direktur badan penjaga perdamaian internasional yang dikenal sebagai S.H.I.E.L.D., mendapati dirinya membutuhkan tim untuk menarik dunia kembali dari ambang bencana.Mencakup seluruh dunia, upaya perekrutan yang berani dimulai!",69.7,21.21,9.09,0.5595599125467241,0.16418186165505952,0.6667033329666704,0.5126273284943751
Drive,64690.0,7.478260869565218,15.388874999999999,19,3,1,23,Drama,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,82.61,13.04,4.35,0.5178264242587785,0.02810813501624833,0.8087119128808713,0.5071484129969003
Rise of the Planet of the Apes,61791.0,7.378260869565217,41.613762,19,3,1,23,Thriller,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.",82.61,13.04,4.35,0.4945525685566836,0.07600849580167648,0.8087119128808713,0.5050915573029385
The Empire Strikes Back,1891.0,7.630303030303031,19.470959,25,5,3,33,Adventure,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",75.76,15.15,9.09,0.5532124973552439,0.0355641555648373,0.7333626663733364,0.5037278797025904
Guardians of the Galaxy,118340.0,7.606060606060606,53.291601,24,6,3,33,Action,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",72.73,18.18,9.09,0.5475703505183724,0.09733833799676939,0.7000329996700034,0.5032627427595412
Star Wars,11.0,7.584848484848485,42.149697,24,6,3,33,Adventure,Putri Leia ditangkap dan disandera oleh pasukan Kekaisaran jahat dalam upaya mereka mengambil alih Kekaisaran galaksi.Luke Skywalker yang petualang dan tim kapten gagah Han Solo bersama dengan duo robot cantik R2-D2 dan C-3PO untuk menyelamatkan putri cantik dan memulihkan perdamaian dan keadilan di Kekaisaran.,72.73,18.18,9.09,0.5426334720361099,0.0769873934364895,0.7000329996700034,0.4967241146063539
Looper,59967.0,7.3478260869565215,12.727269000000001,19,3,1,23,Action,"Dalam film thriller aksi futuristik Looper, perjalanan waktu akan ditemukan tetapi ilegal dan hanya tersedia di pasar gelap.Ketika massa ingin menyingkirkan seseorang, mereka akan mengirimkan target mereka 30 tahun ke masa lalu di mana seorang looper, senjata sewaan, seperti Joe sedang menunggu untuk membersihkan.Joe semakin kaya dan kehidupannya baik sampai suatu hari gerombolan massa memutuskan untuk menutup lingkaran itu, mengirim kembali masa depan Joe untuk dibunuh.",82.61,13.04,4.35,0.48746922116908964,0.023246650287308976,0.8087119128808713,0.49099751450626805
The Lord of the Rings: The Two Towers,121.0,7.503125,29.423537,24,5,3,32,Adventure,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",75.0,15.62,9.38,0.5236132660977502,0.053742768763251264,0.7250027499725004,0.49005601179327546
Up,14160.0,7.503030303030303,19.330884,25,5,3,33,Animation,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",75.76,15.15,9.09,0.5235912264616687,0.035308305347560145,0.7333626663733364,0.48886607421234723
The Bourne Identity,2501.0,7.3545454545454545,21.040126,26,6,1,33,Action,"Terluka di ambang kematian dan menderita amnesia, Jason Bourne diselamatkan di laut oleh seorang nelayan.Karena tidak punya apa-apa selain nomor rekening bank Swiss, dia mulai merekonstruksi hidupnya, namun mendapati banyak orang yang dia temui menginginkan dia mati.Namun, Bourne menyadari bahwa dia memiliki keterampilan tempur dan mental seperti mata-mata kelas dunia – tetapi untuk siapa dia bekerja?",78.79,18.18,3.03,0.4890330770858313,0.03843027527138124,0.7666923330766694,0.48221029352019273
Back to the Future,105.0,7.50909090909091,25.778509,24,6,3,33,Adventure,"Remaja tahun delapan puluhan Marty McFly secara tidak sengaja dikirim kembali ke tahun 1955, secara tidak sengaja mengganggu pertemuan pertama orang tuanya dan menarik minat romantis ibunya.Marty harus memperbaiki kerusakan sejarah dengan menghidupkan kembali kisah cinta orangtuanya dan - dengan bantuan teman penemunya yang eksentrik, Doc Brown - kembali ke tahun 1985.",72.73,18.18,9.09,0.5250017631708868,0.04708504107607429,0.7000329996700034,0.4819277897016593
Edward Scissorhands,162.0,7.348484848484849,17.612244,26,6,1,33,Fantasy,Sebuah kota kecil di pinggiran kota menerima kunjungan dari eksperimen sains terbuang yang belum selesai bernama Edward.,78.79,18.18,3.03,0.48762254037661346,0.03216916976004481,0.7666923330766694,0.4802528040633165
The Imitation Game,205596.0,7.527272727272727,31.595939999999995,23,7,3,33,History,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",69.7,21.21,9.09,0.5292333732985401,0.05771071293289998,0.6667033329666704,0.4761698291258512
Deadpool,293660.0,7.228125,187.860492,20,7,5,32,Action,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",62.5,21.88,15.62,0.4596101629169902,0.3431315202284013,0.5875041249587505,0.47468262299180053
Return of the Jedi,1892.0,7.321739130434783,14.586086999999997,18,4,1,23,Adventure,"Saat para pemimpin Pemberontak memetakan strategi mereka untuk menyerang Death Star milik Kaisar yang lebih baru dan lebih besar.Han Solo tetap membeku di benteng gurun besar Jabba the Hutt, penjahat paling menjijikkan di alam semesta, yang juga menjadikan Putri Leia sebagai budak perempuan.Luke Skywalker, yang sekarang menguasai Force, menyelamatkan teman-temannya, tetapi dia tidak bisa menjadi Jedi Knight sejati sampai dia melakukan pertempuran penting melawan Darth Vader, yang telah bersumpah untuk memenangkan Luke ke sisi gelap Force.",78.26,17.39,4.35,0.481397780551152,0.026641824223976377,0.7608623913760864,0.47428597253319715
The Dark Knight Rises,49026.0,7.536363636363636,20.58258,23,6,4,33,Action,"Menyusul kematian Jaksa Wilayah Harvey Dent, Batman memikul tanggung jawab atas kejahatan Dent untuk melindungi reputasi mendiang pengacara dan kemudian diburu oleh Departemen Kepolisian Kota Gotham.Delapan tahun kemudian, Batman bertemu dengan Selina Kyle yang misterius dan Bane yang jahat, seorang pemimpin teroris baru yang mengalahkan yang terbaik di Gotham.Ksatria Kegelapan muncul kembali untuk melindungi kota yang mencapnya sebagai musuh.",69.7,18.18,12.12,0.531349178362367,0.03759455695252139,0.6667033329666704,0.4732045004616889
Avatar,19995.0,7.1878787878787875,185.070892,21,7,5,33,Action,"Pada abad ke-22, seorang Marinir yang lumpuh dikirim ke bulan Pandora dalam misi unik, namun terpecah antara mengikuti perintah dan melindungi peradaban alien.",63.64,21.21,15.15,0.45024331758234015,0.33803625150724226,0.6000439995600044,0.47274210896061986
Big Hero 6,177572.0,7.0606060606060606,213.849907,21,8,4,33,Adventure,"Ikatan khusus yang berkembang antara robot tiup berukuran plus Baymax, dan keajaiban Hiro Hamada, yang bekerja sama dengan sekelompok teman untuk membentuk sekelompok pahlawan teknologi tinggi.",63.64,24.24,12.12,0.4206220466887651,0.39060178597643747,0.6000439995600044,0.4684445804076714
The Lion King,8587.0,7.478787878787879,21.605761,23,7,3,33,Family,Seekor anak singa muda bernama Simba tidak sabar menjadi raja.Namun pamannya mendambakan gelar itu untuk dirinya sendiri dan tidak akan berhenti untuk mendapatkannya.,69.7,21.21,9.09,0.5179490796247974,0.03946342064100154,0.6667033329666704,0.4668782238306002
Gone Girl,210577.0,7.121212121212121,154.801009,22,8,3,33,Mystery,"Ketika hilangnya istrinya menjadi fokus sirkus media yang intens, seorang pria melihat sorotan tertuju padanya ketika ada kecurigaan bahwa dia mungkin tidak bersalah.",66.67,24.24,9.09,0.4347274137809438,0.28274761226038114,0.6333736662633375,0.4639253292215494
Back to the Future Part II,165.0,7.252380952380953,13.689854999999998,16,4,1,21,Adventure,"Marty dan Doc kembali terlibat dalam sekuel aneh blockbuster tahun 1985 ini, saat duo penjelajah waktu ini menuju tahun 2015 untuk mengatasi masalah keluarga McFly sejak awal.Namun segalanya menjadi kacau karena pengganggu Biff Tannen dan almanak olahraga yang menyebalkan.Dalam upaya terakhirnya untuk meluruskan keadaan, Marty mendapati dirinya terikat pada tahun 1955 dan berhadapan langsung dengan orang tuanya yang masih remaja -- lagi.",76.19,19.05,4.76,0.46525545827330195,0.02500483581112084,0.7380926190738093,0.4590564820210179
The Fault in Our Stars,222935.0,7.269565217391304,16.274653,17,5,1,23,Romance,"Meskipun keajaiban medis yang mampu mengecilkan tumor telah memberinya waktu beberapa tahun, Hazel tetap berada dalam tahap terminal, babak terakhirnya tertulis setelah diagnosis.Namun ketika seorang pasien bernama Augustus Waters tiba-tiba muncul di Cancer Kid Support Group, kisah Hazel akan ditulis ulang sepenuhnya.",73.91,21.74,4.35,0.46925489931527653,0.029726028957060925,0.7130128698713013,0.4544765164104408
Pulp Fiction,680.0,7.239393939393939,140.950236,20,7,6,33,Thriller,"Seorang pembunuh bayaran pencinta burger, rekan filosofisnya, seorang gangster yang kecanduan narkoba, dan seorang petinju yang sudah tua berkumpul dalam aksi kejahatan komedi yang luas ini.Petualangan mereka terungkap dalam tiga cerita yang dengan cerdik berjalan bolak-balik dalam waktu.",60.61,21.21,18.18,0.46223287961069204,0.257448856011896,0.5667143328566715,0.45262051086472666
Guardians of the Galaxy Vol. 2,283995.0,7.040625,185.330992,20,8,4,32,Action,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,62.5,25.0,12.5,0.4159716834755627,0.33851133015449403,0.5875041249587505,0.4519393452563053
The Hateful Eight,273248.0,7.230434782608696,20.328822,17,5,1,23,Crime,Pemburu hadiah mencari perlindungan dari badai salju yang mengamuk dan terjebak dalam rencana pengkhianatan dan penipuan.,73.91,21.74,4.35,0.46014773838836986,0.03713106211450021,0.7130128698713013,0.4514039425784753
Mad Max: Fury Road,76341.0,7.290909090909091,29.36178,23,6,4,33,Action,"Sebuah kisah apokaliptik yang terjadi di wilayah terjauh di planet kita, di lanskap gurun yang tandus di mana umat manusia hancur, dan hampir semua orang tergila-gila memperjuangkan kebutuhan hidup.Di dunia ini ada dua pemberontak dalam pelarian yang mungkin bisa memulihkan ketertiban.Ada Max, pria yang suka bertindak dan tidak banyak bicara, yang mencari ketenangan pikiran setelah kehilangan istri dan anaknya setelah kekacauan terjadi.Dan Furiosa, seorang wanita yang penuh aksi dan seorang wanita yang percaya bahwa jalan hidupnya dapat tercapai jika dia berhasil melintasi gurun kembali ke tanah air masa kecilnya.",69.7,18.18,12.12,0.4742224416390437,0.05362996817879019,0.6667033329666704,0.44784821434528105
Se7en,807.0,7.303125,18.45743,22,7,3,32,Crime,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",68.75,21.88,9.38,0.47706555469356093,0.033712921476907985,0.6562534374656254,0.4421513928818497
The Wolf of Wall Street,106646.0,7.371875,16.382422,21,8,3,32,Crime,"Seorang pialang saham New York menolak untuk bekerja sama dalam kasus penipuan sekuritas besar yang melibatkan korupsi di Wall Street, dunia perbankan korporat, dan infiltrasi massa.Berdasarkan otobiografi Jordan Belfort.",65.62,25.0,9.38,0.49306633048875104,0.02992287152044298,0.6218237817621824,0.43906487407711886
Inside Out,150540.0,7.381818181818182,23.985587,21,8,4,33,Drama,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",63.64,24.24,12.12,0.4953804922773115,0.043810227702802886,0.6000439995600044,0.4364654915472177
Harry Potter and the Prisoner of Azkaban,673.0,7.203125,28.460276,22,5,5,32,Adventure,"Harry, Ron, dan Hermione kembali ke Hogwarts untuk menjalani tahun penuh keajaiban.Harry kembali berhadapan dengan bahaya, kali ini dalam bentuk narapidana yang melarikan diri, Sirius Black – dan meminta bantuan Profesor Lupin yang simpatik.",68.75,15.62,15.62,0.4537916989914663,0.0519833503363756,0.6562534374656254,0.4341685508026959
Harry Potter and the Deathly Hallows: Part 2,12445.0,7.224242424242425,24.990737,22,6,5,33,Family,"Harry, Ron dan Hermione melanjutkan upaya mereka untuk mengalahkan kejahatan Voldemort untuk selamanya.Ketika segala sesuatunya mulai terlihat tidak ada harapan lagi bagi para penyihir muda, Harry menemukan tiga benda ajaib yang memberinya kekuatan untuk menyaingi keterampilan hebat Voldemort.",66.67,18.18,15.15,0.45870653783764737,0.04564615735403353,0.6333736662633375,0.4284946002686316
Kick-Ass,23483.0,7.056521739130435,0.0,17,5,1,23,Action,"Dave Lizewski adalah seorang siswa sekolah menengah dan penggemar buku komik yang suatu hari memutuskan untuk menjadi pahlawan super, meskipun ia tidak memiliki kekuatan, pelatihan atau alasan yang berarti untuk melakukannya.",73.91,21.74,4.35,0.4196714676021185,0.0,0.7130128698713013,0.4237395947624496
X-Men,36657.0,7.039130434782609,0.954467,17,5,1,23,Adventure,"Dua mutan, Rogue dan Wolverine, datang ke akademi swasta untuk jenis mereka yang tim pahlawan supernya, X-Men, harus melawan organisasi teroris dengan kekuatan serupa.",73.91,21.74,4.35,0.4156238405234933,0.001743355983108154,0.7130128698713013,0.42206445241975865
WALL·E,10681.0,7.275757575757575,16.088366,21,8,4,33,Animation,"WALL·E adalah robot terakhir yang tersisa di Bumi yang dipenuhi sampah dan semua manusia telah melarikan diri ke luar angkasa.Selama 700 tahun dia terus berusaha membereskan kekacauan tersebut, namun dia telah mengembangkan beberapa sifat mirip manusia yang menarik.Ketika sebuah kapal tiba dengan robot jenis baru yang ramping, WALL·E berpikir dia akhirnya menemukan seorang teman dan bersembunyi di kapal ketika kapal itu berangkat.",63.64,24.24,12.12,0.47069609986599903,0.02938577145625129,0.6000439995600044,0.4212384040922511
Forrest Gump,13.0,7.254545454545455,48.307194,20,7,6,33,Comedy,"Seorang pria dengan IQ rendah telah mencapai hal-hal besar dalam hidupnya dan hadir dalam peristiwa-peristiwa bersejarah yang penting - dalam setiap kasus, jauh melebihi apa yang dibayangkan oleh siapa pun.Namun, terlepas dari semua hal yang telah ia capai, satu-satunya cinta sejatinya masih luput dari perhatiannya.'Forrest Gump' adalah kisah tentang seorang pria yang berhasil mengatasi tantangannya, dan yang membuktikan bahwa tekad, keberanian, dan cinta lebih penting daripada kemampuan.",60.61,21.21,18.18,0.4657592213837367,0.08823420368338175,0.5667143328566715,0.42054075128554613
Iron Man,1726.0,7.245454545454545,22.073099,21,7,5,33,Action,"Setelah ditawan di sebuah gua Afghanistan, insinyur miliarder Tony Stark menciptakan baju zirah yang dipersenjatai unik untuk melawan kejahatan.",63.64,21.21,15.15,0.4636434163199097,0.04031702427364028,0.6000439995600044,0.41989831288268425
Donnie Darko,141.0,7.06969696969697,18.303148,23,9,1,33,Fantasy,"Setelah nyaris lolos dari kecelakaan aneh, seorang remaja bermasalah diganggu oleh penampakan seekor kelinci besar yang memanipulasi dirinya untuk melakukan serangkaian kejahatan.",69.7,27.27,3.03,0.42273785175259215,0.03343112184655315,0.6667033329666704,0.4180661501356079
Split,381288.0,6.931818181818182,28.920839,16,5,1,22,Horror,"Meskipun Kevin telah membuktikan 23 kepribadiannya kepada psikiater kepercayaannya, Dr. Fletcher, masih ada satu kepribadian yang akan terwujud dan mendominasi kepribadian lainnya.Dipaksa untuk menculik tiga gadis remaja yang dipimpin oleh Casey yang keras kepala dan jeli, Kevin mencapai perang untuk bertahan hidup di antara semua orang yang ada di dalam dirinya — serta semua orang di sekitarnya — saat dinding di antara kompartemennya hancur berantakan.",72.73,22.73,4.55,0.39064814161788575,0.05282457927529988,0.7000329996700034,0.4158988865650039
Zombieland,19908.0,6.984848484848484,11.063029,24,8,1,33,Comedy,"Columbus mempunyai kebiasaan lari dari apa yang membuatnya takut.Tallahassee tidak memiliki rasa takut.Jika dia melakukannya, dia akan menghajar mereka yang masih hidup.Di dunia yang dipenuhi zombie, keduanya adalah penyintas yang berevolusi dengan sempurna.Namun kini, mereka menghadapi prospek yang paling menakutkan: satu sama lain.",72.73,24.24,3.03,0.40299033782354177,0.020206877554120803,0.7000329996700034,0.4155464443235961
Captain America: Civil War,271110.0,6.903030303030303,145.882135,20,7,6,33,Adventure,"Setelah peristiwa Age of Ultron, pemerintahan kolektif di dunia mengeluarkan undang-undang yang dirancang untuk mengatur semua aktivitas manusia super.Hal ini menimbulkan polarisasi pendapat di kalangan Avengers, menyebabkan dua faksi memihak Iron Man atau Captain America, yang menyebabkan pertempuran epik antara mantan sekutu.",60.61,21.21,18.18,0.383948092249101,0.2664570832525813,0.5667143328566715,0.41527976263206823
Harry Potter and the Sorcerer's Stone,671.0,7.163333333333333,38.187238,19,6,5,30,Adventure,"Harry Potter tinggal di bawah tangga di rumah bibi dan pamannya sepanjang hidupnya.Namun pada ulang tahunnya yang ke-11, dia mengetahui bahwa dia adalah seorang penyihir yang kuat -- dan tempat menunggunya di Sekolah Sihir Hogwarts.Saat dia belajar memanfaatkan kekuatan barunya dengan bantuan kepala sekolah yang baik hati, Harry mengungkap kebenaran tentang kematian orang tuanya -- dan tentang penjahat yang harus disalahkan.",63.33,20.0,16.67,0.44453064391000785,0.06974987070865211,0.5966340336596635,0.4152055061946334
Intouchables,77338.0,7.212121212121212,16.086919,21,8,4,33,Drama,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,63.64,24.24,12.12,0.45588546441921163,0.029383128477387114,0.6000439995600044,0.4138325577730846
Wonder Woman,297762.0,6.651515151515151,294.337037,17,10,6,33,Action,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,51.52,30.3,18.18,0.32541081881655987,0.537613384752198,0.4667253327466726,0.4102456861827213
The Shawshank Redemption,278.0,7.148484848484848,51.645403,20,7,6,33,Drama,"Dijebak pada tahun 1940-an atas pembunuhan ganda terhadap istri dan kekasihnya, bankir terkemuka Andy Dufresne memulai hidup baru di penjara Shawshank, di mana ia menerapkan keterampilan akuntansinya untuk bekerja pada sipir amoral.Selama masa tahanannya yang panjang di penjara, Dufresne dikagumi oleh narapidana lain -- termasuk seorang narapidana yang lebih tua bernama Red -- karena integritas dan harapannya yang tak pernah padam.",60.61,21.21,18.18,0.441074828972424,0.09433151939258436,0.5667143328566715,0.4094180182217303
Inglourious Basterds,16869.0,7.190625,16.89564,20,8,4,32,Drama,"Di Prancis yang diduduki Nazi selama Perang Dunia II, sekelompok tentara Yahudi-Amerika yang dikenal sebagai ""The Basterds"" dipilih secara khusus untuk menyebarkan ketakutan ke seluruh Third Reich dengan menguliti dan membunuh Nazi secara brutal.The Basterds, dipimpin oleh Lt. Aldo Raine segera bertemu dengan seorang gadis remaja Perancis-Yahudi yang menjalankan sebuah bioskop di Paris yang menjadi sasaran para tentara.",62.5,25.0,12.5,0.4508824670287044,0.030860276030959116,0.5875041249587505,0.40786452620816915
The Lord of the Rings: The Return of the King,122.0,7.175757575757576,29.324358,20,7,6,33,Adventure,"Aragorn terungkap sebagai pewaris raja-raja kuno saat dia, Gandalf, dan anggota lain dari persekutuan yang hancur berjuang untuk menyelamatkan Gondor dari pasukan Sauron.Sementara itu, Frodo dan Sam membawa cincin itu lebih dekat ke jantung Mordor, wilayah penguasa kegelapan.",60.61,21.21,18.18,0.4474222441639044,0.053561616032933,0.5667143328566715,0.40443774514554026
Pirates of the Caribbean: The Curse of the Black Pearl,22.0,7.15,47.326665,19,8,5,32,Adventure,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",59.38,25.0,15.62,0.4414274631497286,0.08644324485634942,0.5531844681553185,0.4039577209927297
Taken,8681.0,6.956521739130435,16.367481,16,6,1,23,Action,"Saat berlibur bersama temannya di Paris, seorang gadis Amerika diculik oleh sekelompok pedagang manusia yang bermaksud menjualnya ke prostitusi paksa.Bekerja melawan waktu, ayah mantan mata-matanya harus berusaha sekuat tenaga untuk menyelamatkannya.Namun dengan tahun-tahun terbaiknya yang mungkin telah berlalu, pekerjaan itu mungkin lebih dari yang bisa dia tangani.",69.57,26.09,4.35,0.39639761190002365,0.02989558143944111,0.6652733472665273,0.40375992641785824
Gladiator,98.0,7.081818181818181,23.186667,21,7,5,33,Action,"Pada tahun 180, kematian Kaisar Marcus Aurelius membuat Kekaisaran Romawi kacau balau.Maximus adalah salah satu jenderal tentara Romawi yang paling cakap dan tepercaya serta penasihat utama kaisar.Saat putra Marcus yang licik, Commodus, naik takhta, Maximus akan dieksekusi.Dia lolos, tapi ditangkap oleh pedagang budak.Berganti nama menjadi orang Spanyol dan dipaksa menjadi gladiator, Maximus harus bertarung sampai mati dengan pria lain demi hiburan penonton yang membayar.Keterampilan bertarungnya sangat berguna baginya, dan dia menjadi salah satu pria paling terkenal dan dikagumi yang bertarung di Colosseum.Bertekad untuk membalas dendam terhadap pria yang merampas kebebasannya dan menghancurkan keluarganya, Maximus percaya bahwa dia dapat menggunakan ketenaran dan keterampilannya di atas ring untuk membalas kehilangan keluarga dan kejayaannya di masa lalu.Saat sang gladiator mulai menantang kekuasaannya, Commodus memutuskan untuk menguji keberanian bertarungnya dengan bertarung melawan Maximus dalam pertarungan sampai mati.",63.64,21.21,15.15,0.42555892517102745,0.04235098190171729,0.6000439995600044,0.40126285883385854
Saving Private Ryan,857.0,7.154545454545454,21.758054,20,8,5,33,Drama,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",60.61,24.24,15.15,0.4424853656816419,0.03974158731699504,0.5667143328566715,0.3992053001612214
Captain America: The Winter Soldier,100402.0,7.154545454545454,18.717704,20,9,4,33,Action,"Setelah peristiwa dahsyat di New York bersama The Avengers, Steve Rogers alias Captain America hidup tenang di Washington, D.C. dan mencoba menyesuaikan diri dengan dunia modern.Tapi ketika S.H.I.E.L.D.rekannya diserang, Steve terlibat dalam jaringan intrik yang mengancam dunia dalam bahaya.Bergabung dengan Black Widow, Captain America berjuang untuk mengungkap konspirasi yang semakin luas sambil melawan pembunuh profesional yang dikirim untuk membungkamnya di setiap kesempatan.Ketika keseluruhan plot jahat terungkap, Captain America dan Black Widow meminta bantuan sekutu baru, Falcon.Namun, mereka segera menghadapi musuh yang tak terduga dan tangguh—Prajurit Musim Dingin.",60.61,27.27,12.12,0.4424853656816419,0.034188317939171736,0.5667143328566715,0.3980946462856567
The Lord of the Rings: The Fellowship of the Ring,120.0,7.066666666666666,32.070725,20,7,6,33,Adventure,"Hobbit muda Frodo Baggins, setelah mewarisi cincin misterius dari pamannya Bilbo, harus meninggalkan rumahnya agar cincin itu tidak jatuh ke tangan pencipta jahatnya.Sepanjang jalan, sebuah persekutuan dibentuk untuk melindungi pembawa cincin dan memastikan bahwa cincin tersebut tiba di tujuan akhirnya: Gunung Doom, satu-satunya tempat di mana cincin tersebut dapat dihancurkan.",60.61,21.21,18.18,0.422032583397983,0.058577918682747816,0.5667143328566715,0.3927461752925425
Titanic,597.0,7.0606060606060606,26.88907,20,7,6,33,Drama,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",60.61,21.21,18.18,0.4206220466887651,0.049113506349317444,0.5667143328566715,0.3901480244712475
Finding Nemo,12.0,7.057575757575758,25.497794,20,9,4,33,Animation,"Nemo, seekor ikan badut muda yang suka berpetualang, tiba-tiba dibawa dari rumahnya di Great Barrier Reef ke akuarium kantor dokter gigi.Ayahnya yang mengkhawatirkan, Marlin, dan seekor ikan Dory yang ramah namun pelupa harus membawa pulang Nemo -- bertemu dengan hiu vegetarian, penyu peselancar, ubur-ubur yang menghipnotis, burung camar yang lapar, dan masih banyak lagi.",60.61,27.27,12.12,0.4199167783341562,0.046572308655992496,0.5667143328566715,0.38928715075527803
Ice Age,425.0,6.826086956521739,17.328902,16,6,1,23,Animation,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",69.57,26.09,4.35,0.36604040881033506,0.031651639063891006,0.6652733472665273,0.3889325363979039
The Hunger Games: Mockingjay - Part 2,131634.0,6.904347826086957,26.628178,15,7,1,23,Action,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",65.22,30.43,4.35,0.38425473066414817,0.04863698109580417,0.6174238257617425,0.3870819092797577
Limitless,51876.0,6.947826086956522,12.114954999999998,15,7,1,23,Thriller,"Sebuah film thriller aksi yang dipicu oleh paranoia tentang seorang penulis gagal yang hidupnya diubah oleh ""obat pintar"" rahasia yang memungkinkan dia menggunakan 100% otaknya dan menjadi versi sempurna dari dirinya.Kemampuannya yang ditingkatkan segera menarik kekuatan bayangan yang mengancam kehidupan barunya dalam film yang kelam dan provokatif ini.",65.22,30.43,4.35,0.3943737983607112,0.022128244647888345,0.6174238257617425,0.386839695838456
